seed,method,n_params,budget,best_loss,fill_kind,is_approx,confidence,run_total_evals,run_final_loss,stop_reason,approx_run,case
42,GPU-PSO,10,5000,0.7936407549838385,approx_soft_extend,True,0.45,1576,0.9712969049317544,Stop L (loss target): best_loss=0.971297 < 1.0,False,10P
42,GPU-PSO,10,7500,0.6848101547344472,approx_soft_extend,True,0.45,1576,0.9712969049317544,Stop L (loss target): best_loss=0.971297 < 1.0,False,10P
42,GPU-PSO,10,10000,0.5909033086852594,approx_soft_extend,True,0.45,1576,0.9712969049317544,Stop L (loss target): best_loss=0.971297 < 1.0,False,10P
42,GPU-PSO,10,15000,0.4856484524658772,approx_soft_extend,True,0.45,1576,0.9712969049317544,Stop L (loss target): best_loss=0.971297 < 1.0,False,10P
42,GPU-PSO,20,100,20.106427847280834,observed,False,1.0,3465,0.913570993843279,Stop L (loss target): best_loss=0.913571 < 1.0,False,20P
42,GPU-PSO,20,250,13.025165873120038,observed,False,1.0,3465,0.913570993843279,Stop L (loss target): best_loss=0.913571 < 1.0,False,20P
42,GPU-PSO,20,500,7.055687009535557,observed,False,1.0,3465,0.913570993843279,Stop L (loss target): best_loss=0.913571 < 1.0,False,20P
42,GPU-PSO,20,750,7.055687009535557,observed,False,1.0,3465,0.913570993843279,Stop L (loss target): best_loss=0.913571 < 1.0,False,20P
42,GPU-PSO,20,1000,6.30365234838799,observed,False,1.0,3465,0.913570993843279,Stop L (loss target): best_loss=0.913571 < 1.0,False,20P
42,GPU-PSO,20,1500,2.11319926929888,observed,False,1.0,3465,0.913570993843279,Stop L (loss target): best_loss=0.913571 < 1.0,False,20P
42,GPU-PSO,20,2000,1.4924250005924453,observed,False,1.0,3465,0.913570993843279,Stop L (loss target): best_loss=0.913571 < 1.0,False,20P
42,GPU-PSO,20,3000,1.3402754877240919,observed,False,1.0,3465,0.913570993843279,Stop L (loss target): best_loss=0.913571 < 1.0,False,20P
42,GPU-PSO,20,5000,0.8874434950334305,approx_soft_extend,True,0.45,3465,0.913570993843279,Stop L (loss target): best_loss=0.913571 < 1.0,False,20P
42,GPU-PSO,20,7500,0.8464804753916044,approx_soft_extend,True,0.45,3465,0.913570993843279,Stop L (loss target): best_loss=0.913571 < 1.0,False,20P
42,GPU-PSO,20,10000,0.8074082454029421,approx_soft_extend,True,0.45,3465,0.913570993843279,Stop L (loss target): best_loss=0.913571 < 1.0,False,20P
42,GPU-PSO,20,15000,0.7345910791989069,approx_soft_extend,True,0.45,3465,0.913570993843279,Stop L (loss target): best_loss=0.913571 < 1.0,False,20P
42,GPU-PSO,40,100,20.884932628523135,observed,False,1.0,5359,0.9771275011893209,Stop L (loss target): best_loss=0.977128 < 1.0,False,40P
42,GPU-PSO,40,250,5.681978576723763,observed,False,1.0,5359,0.9771275011893209,Stop L (loss target): best_loss=0.977128 < 1.0,False,40P
42,GPU-PSO,40,500,5.681978576723763,observed,False,1.0,5359,0.9771275011893209,Stop L (loss target): best_loss=0.977128 < 1.0,False,40P
42,GPU-PSO,40,750,5.681978576723763,observed,False,1.0,5359,0.9771275011893209,Stop L (loss target): best_loss=0.977128 < 1.0,False,40P
42,GPU-PSO,40,1000,3.8786381128840164,observed,False,1.0,5359,0.9771275011893209,Stop L (loss target): best_loss=0.977128 < 1.0,False,40P
42,GPU-PSO,40,1500,3.8786381128840164,observed,False,1.0,5359,0.9771275011893209,Stop L (loss target): best_loss=0.977128 < 1.0,False,40P
42,GPU-PSO,40,2000,2.6585483970343358,observed,False,1.0,5359,0.9771275011893209,Stop L (loss target): best_loss=0.977128 < 1.0,False,40P
42,GPU-PSO,40,3000,2.1717620508111035,observed,False,1.0,5359,0.9771275011893209,Stop L (loss target): best_loss=0.977128 < 1.0,False,40P
42,GPU-PSO,40,5000,1.0257633980146859,observed,False,1.0,5359,0.9771275011893209,Stop L (loss target): best_loss=0.977128 < 1.0,False,40P
42,GPU-PSO,40,7500,0.8767920486943159,approx_soft_extend,True,0.45,5359,0.9771275011893209,Stop L (loss target): best_loss=0.977128 < 1.0,False,40P
42,GPU-PSO,40,10000,0.7725950317286806,approx_soft_extend,True,0.45,5359,0.9771275011893209,Stop L (loss target): best_loss=0.977128 < 1.0,False,40P
42,GPU-PSO,40,15000,0.5998774375928081,approx_soft_extend,True,0.45,5359,0.9771275011893209,Stop L (loss target): best_loss=0.977128 < 1.0,False,40P
42,GPU-PSO,80,100,22.86025457234521,observed,False,1.0,2453,1.6514269471407523,Stop B (long stagnation): rel_imp flat 50 iters (≥50),False,80P
42,GPU-PSO,80,250,6.441518290816109,observed,False,1.0,2453,1.6514269471407523,Stop B (long stagnation): rel_imp flat 50 iters (≥50),False,80P
42,GPU-PSO,80,500,3.538936691846802,observed,False,1.0,2453,1.6514269471407523,Stop B (long stagnation): rel_imp flat 50 iters (≥50),False,80P
42,GPU-PSO,80,750,3.538936691846802,observed,False,1.0,2453,1.6514269471407523,Stop B (long stagnation): rel_imp flat 50 iters (≥50),False,80P
42,GPU-PSO,80,1000,1.6514269471407523,observed,False,1.0,2453,1.6514269471407523,Stop B (long stagnation): rel_imp flat 50 iters (≥50),False,80P
42,GPU-PSO,80,1500,1.6514269471407523,observed,False,1.0,2453,1.6514269471407523,Stop B (long stagnation): rel_imp flat 50 iters (≥50),False,80P
42,GPU-PSO,80,2000,1.6514269471407523,observed,False,1.0,2453,1.6514269471407523,Stop B (long stagnation): rel_imp flat 50 iters (≥50),False,80P
42,GPU-PSO,80,3000,1.6514269471407523,approx_hold_final,True,0.6,2453,1.6514269471407523,Stop B (long stagnation): rel_imp flat 50 iters (≥50),False,80P
42,GPU-PSO,80,5000,1.6514269471407523,approx_hold_final,True,0.6,2453,1.6514269471407523,Stop B (long stagnation): rel_imp flat 50 iters (≥50),False,80P
42,GPU-PSO,80,7500,1.6514269471407523,approx_hold_final,True,0.6,2453,1.6514269471407523,Stop B (long stagnation): rel_imp flat 50 iters (≥50),False,80P
42,GPU-PSO,80,10000,1.6514269471407523,approx_hold_final,True,0.6,2453,1.6514269471407523,Stop B (long stagnation): rel_imp flat 50 iters (≥50),False,80P
42,GPU-PSO,80,15000,1.6514269471407523,approx_hold_final,True,0.6,2453,1.6514269471407523,Stop B (long stagnation): rel_imp flat 50 iters (≥50),False,80P
42,GPU-PSO,120,100,20.402726904653168,observed,False,1.0,4685,1.3271984568455761,Stop B (long stagnation): rel_imp flat 50 iters (≥50),False,120P
42,GPU-PSO,120,250,11.759965023629729,observed,False,1.0,4685,1.3271984568455761,Stop B (long stagnation): rel_imp flat 50 iters (≥50),False,120P
42,GPU-PSO,120,500,6.567027394976209,observed,False,1.0,4685,1.3271984568455761,Stop B (long stagnation): rel_imp flat 50 iters (≥50),False,120P
42,GPU-PSO,120,750,6.567027394976209,observed,False,1.0,4685,1.3271984568455761,Stop B (long stagnation): rel_imp flat 50 iters (≥50),False,120P
42,GPU-PSO,120,1000,6.567027394976209,observed,False,1.0,4685,1.3271984568455761,Stop B (long stagnation): rel_imp flat 50 iters (≥50),False,120P
42,GPU-PSO,120,1500,2.210130921018922,observed,False,1.0,4685,1.3271984568455761,Stop B (long stagnation): rel_imp flat 50 iters (≥50),False,120P
42,GPU-PSO,120,2000,2.210130921018922,observed,False,1.0,4685,1.3271984568455761,Stop B (long stagnation): rel_imp flat 50 iters (≥50),False,120P
42,GPU-PSO,120,3000,1.3770148559722795,observed,False,1.0,4685,1.3271984568455761,Stop B (long stagnation): rel_imp flat 50 iters (≥50),False,120P
42,GPU-PSO,120,5000,1.3271060176660139,approx_hold_final,True,0.6,4685,1.3271984568455761,Stop B (long stagnation): rel_imp flat 50 iters (≥50),False,120P
42,GPU-PSO,120,7500,1.3263738938828062,approx_hold_final,True,0.6,4685,1.3271984568455761,Stop B (long stagnation): rel_imp flat 50 iters (≥50),False,120P
42,GPU-PSO,120,10000,1.3256444637647464,approx_hold_final,True,0.6,4685,1.3271984568455761,Stop B (long stagnation): rel_imp flat 50 iters (≥50),False,120P
42,GPU-PSO,120,15000,1.3241936449178833,approx_hold_final,True,0.6,4685,1.3271984568455761,Stop B (long stagnation): rel_imp flat 50 iters (≥50),False,120P
42,GPU-PSO,160,100,22.030594415390205,observed,False,1.0,4633,2.9698581226489162,Stop B (long stagnation): rel_imp flat 50 iters (≥50),False,160P
42,GPU-PSO,160,250,13.373927347196698,observed,False,1.0,4633,2.9698581226489162,Stop B (long stagnation): rel_imp flat 50 iters (≥50),False,160P
42,GPU-PSO,160,500,8.811856690235212,observed,False,1.0,4633,2.9698581226489162,Stop B (long stagnation): rel_imp flat 50 iters (≥50),False,160P
42,GPU-PSO,160,750,8.811856690235212,observed,False,1.0,4633,2.9698581226489162,Stop B (long stagnation): rel_imp flat 50 iters (≥50),False,160P
42,GPU-PSO,160,1000,8.811856690235212,observed,False,1.0,4633,2.9698581226489162,Stop B (long stagnation): rel_imp flat 50 iters (≥50),False,160P
42,GPU-PSO,160,1500,6.810480691774097,observed,False,1.0,4633,2.9698581226489162,Stop B (long stagnation): rel_imp flat 50 iters (≥50),False,160P
42,GPU-PSO,160,2000,6.215281044431545,observed,False,1.0,4633,2.9698581226489162,Stop B (long stagnation): rel_imp flat 50 iters (≥50),False,160P
42,GPU-PSO,160,3000,3.4454207675016506,observed,False,1.0,4633,2.9698581226489162,Stop B (long stagnation): rel_imp flat 50 iters (≥50),False,160P
