iteration,loss,n_evals_per_iter,cumulative_evals,param_displacement_norm,gradient_spread,iteration_classification,spearman_correlation_vs_iter1
132,0.703885644984985,211,27983,0.0035218506971682,19437.76138287465,plateau,0.7716734749411228
133,0.6980073865811504,211,28195,0.0039914963887001,31373.567143773664,progress,0.793315689050286
134,0.6779597436351701,211,28407,0.0112700899777669,22447.71431930914,progress,0.7470742776804138
135,0.6928044796161844,211,28619,0.0154897982232903,5379.223852754656,plateau,0.8669124340364049
136,0.7173445041806645,211,28831,0.0063958675538535,42236.36615504535,plateau,0.8811064714781353
137,0.6761985536253247,211,29043,0.0052019492772345,32651.274462217465,progress,0.916967342958862
138,0.6670686124046158,211,29255,0.0109987988244656,36213.75783312863,progress,0.6497516950497744
139,0.7022763826342094,211,29467,0.0454865141007532,52572.070541422494,plateau,0.3611361449725132
140,0.7277476215585434,211,29679,0.0419854153270421,9932.664759389016,plateau,0.9523980135603982
141,0.7228737344839286,211,29891,0.006972369218336,48652.85428395987,progress,0.6996329686776182
142,0.7216893891944667,211,30103,0.0074164978919221,66806.23006438257,progress,0.9556348864405736
143,0.6719420997294112,211,30315,0.0044741724713994,24724.836597296773,progress,0.8467059505722514
144,0.6738296651485867,211,30527,0.0055216032355505,15481.18414868534,plateau,0.8186159064183509
145,0.6941426728871234,211,30739,0.0062007842677947,12405.455309293697,plateau,0.8699355022627658
146,0.6695391239355158,211,30951,0.0060871209833939,21754.06075081382,progress,0.8799558137048782
147,0.6664960476808951,211,31163,0.0103916220706002,22187.135533860637,progress,0.7562976808673989
148,0.7228927060747826,211,31375,0.0062535566152904,83967.10073424439,plateau,0.7981126880104181
149,0.6756296295558997,211,31587,0.0245182004073173,46310.07739159222,progress,0.6656082256481358
150,0.7010251218164918,211,31799,0.0235872424576246,29077.28627857674,plateau,0.9113514073853308
151,0.6738634759812699,211,32011,0.0110383786785845,40000.25345243934,progress,0.7883774494400585
152,0.6659023066747163,211,32223,0.0268490038640556,138880.11480276572,progress,0.4983754085774539
153,0.6994965457501455,211,32435,0.0262895635713095,38459.71555137418,plateau,0.8290612355965311
154,0.6762950324247926,211,32647,0.0252363515981895,30766.33135956057,progress,0.3836193240533474
155,0.6735092514002455,211,32859,0.023452152337769,16288.904888485797,progress,0.8685334620480542
156,0.6732285272785872,211,33071,0.0043627622525472,23066.063998776703,plateau,0.867171591192544
157,0.6689853044241001,211,33283,0.0033311411911784,14925.84393386086,progress,0.8870100714949805
158,0.6669257928077982,211,33495,0.0054026862950485,18126.747313180276,progress,0.8728652739129166
159,0.6825858349370417,211,33707,0.0025309639888076,48261.76080334273,plateau,0.9443693248632136
160,0.6785455855496119,211,33919,0.0062716506526871,21347.753669771984,progress,0.8756408470551648
161,0.6731355325598716,211,34131,0.0033340226323716,42536.02660011781,progress,0.893395703822244
162,0.6819602827269395,211,34343,0.00375645264749,33077.821838411175,plateau,0.9089930772644664
163,0.6750059939883231,211,34555,0.0059046301678216,14870.52505006156,progress,0.8898232224248688
164,0.6698977695978731,211,34767,0.0063062100164718,21289.96324159389,progress,0.8524968172261761
165,0.6775013386538433,211,34979,0.0224460904597021,129553.93018983927,plateau,0.4466476402121201
166,0.7675571552698185,211,35191,0.0211329056530377,105918.25444171295,divergent,0.8538237018656075
167,0.6696543996199394,211,35403,0.0091201692804855,8142.990629869114,progress,0.5819380420028961
168,0.6693330788479189,211,35615,0.005242720981771,33654.796945596216,plateau,0.8504157852623804
169,0.6593988974549575,211,35827,0.0036585456964726,7628.012941799694,progress,0.9144742511168052
170,0.661362663360286,211,36039,0.0129474873960469,87123.74581379772,plateau,0.6679976546277369
171,0.6532969731228561,211,36251,0.0149433764716853,16000.386651556491,progress,0.6522901393941554
172,0.668086588221855,211,36463,0.0068156366668414,49947.49952243811,plateau,0.8700171367669496
173,0.6612903450558456,211,36675,0.0052506328157723,36792.08694200202,progress,0.7964761105694006
174,0.6478660855504613,211,36887,0.0057486769291151,3565.6286194467543,progress,0.8340124330645657
175,0.6376120056460284,211,37099,0.0068613205827884,42486.15162174562,progress,0.9077024746268948
