rank,nX_index,avg_abs_gradient,share_of_total,cumulative_share,relative_to_rank1,base_Kij
113,116,0.1161470427264046,0.0007270848000932564,0.9757141696982783,0.005431805379009462,0.1807469
114,39,0.1122200642886163,0.0007025017692610756,0.9764166714675394,0.005248153844704979,-0.007057101
115,54,0.1104311949867442,0.0006913033810093104,0.9771079748485487,0.005164494462010728,0.03394517
116,82,0.1074889722637627,0.0006728849575165311,0.9777808598060652,0.0050268966305224054,-0.02946507
117,209,0.1073686638729682,0.0006721318225230178,0.9784529916285882,0.005021270212932103,0.1340351
118,41,0.1059326172273772,0.0006631421172001395,0.9791161337457883,0.004954111155663601,0.04569521
119,75,0.1056812778820917,0.0006615687235662356,0.9797777024693546,0.004942356862350302,0.01579248
120,109,0.1013901040668202,0.0006347058161481651,0.9804124082855028,0.004741673138814073,0.03056553
121,36,0.0993001614389483,0.000621622697696565,0.9810340309831994,0.004643933572300642,0.01409478
122,204,0.0948375659306285,0.0005936866841149972,0.9816277176673144,0.004435233034452817,0.01544398
123,51,0.0945721377151664,0.0005920250936306577,0.982219742760945,0.004422819852208615,-0.02898051
124,58,0.0915908182818243,0.0005733619232793312,0.9827931046842243,0.004283393599465191,0.0681127
125,60,0.0912802260988015,0.0005714176046810901,0.9833645222889054,0.004268868250813864,0.06070514
126,17,0.0912648389326206,0.0005713212804494607,0.9839358435693548,0.0042681486449585,0.05760714
127,25,0.0910895036621322,0.0005702236751458746,0.9845060672445007,0.004259948805832054,0.1623353
128,72,0.0888016965716676,0.0005559019178115896,0.9850619691623124,0.0041529557858772164,0.01251934
129,23,0.0876085831225723,0.0005484329833190645,0.9856104021456314,0.004097157894700336,0.1810349
130,28,0.0811143031731412,0.0005077785496981876,0.9861181806953296,0.0037934423292062722,0.03194122
131,6,0.0794321700345263,0.0004972483337916055,0.9866154290291212,0.0037147746368048256,0.06222812
132,4,0.0789753419863917,0.0004943885732479182,0.9871098176023692,0.0036934103300528655,0.0922367
133,2,0.0764994977644273,0.0004788896964884862,0.9875887072988576,0.0035776234477804133,-0.006554082
134,132,0.0688080184879718,0.0004307407506275365,0.9880194480494852,0.003217918908381986,0.1989571
135,83,0.0687014195953765,0.00043007343760179383,0.988449521487087,0.0032129336377749716,-0.003060122
136,193,0.0679940521142932,0.00042564529090513244,0.9888751667779921,0.0031798524469112874,0.08354075
137,20,0.0674438297723326,0.00042220087861429483,0.9892973676566065,0.003154120404092488,0.0429219
138,129,0.0664647244900049,0.0004160716431920171,0.9897134392997985,0.00310833095294226,0.1410233
