collection,path,method,n_params,seed,loss,iterations,evaluations,time_seconds,stop_reason
gpu_seeds,gpu_seeds/2P/GPU-DE/seed44/result.json,GPU-DE,2,44,1.1298710967201295,87,880,4161.25140953064,stagnation
gpu_seeds,gpu_seeds/2P/GPU-PSO/seed42/result.json,GPU-PSO,2,42,1.1020490961403087,291,2920,15309.106984376907,stagnation
gpu_seeds,gpu_seeds/2P/GPU-PSO/seed43/result.json,GPU-PSO,2,43,1.0985094785855452,467,4680,22252.31720161438,stagnation
gpu_seeds,gpu_seeds/2P/GPU-PSO/seed44/result.json,GPU-PSO,2,44,1.1010277480911868,265,2660,12561.12903046608,stagnation
gpu_seeds,gpu_seeds/3P/GPU-CMAES/seed42/result.json,GPU-CMAES,3,42,1.7918068363236868,127,1920,8094.593055963516,stagnation
gpu_seeds,gpu_seeds/3P/GPU-CMAES/seed43/result.json,GPU-CMAES,3,43,1.6079378903914936,53,810,3338.340209007263,stagnation
gpu_seeds,gpu_seeds/3P/GPU-CMAES/seed44/result.json,GPU-CMAES,3,44,1.7510659777994575,129,1950,7956.146082639694,stagnation
gpu_seeds,gpu_seeds/3P/GPU-DE/seed42/result.json,GPU-DE,3,42,0.771240688937894,34,525,2420.101258993149,loss_threshold
gpu_seeds,gpu_seeds/3P/GPU-DE/seed43/result.json,GPU-DE,3,43,0.9821245838008588,39,600,2564.051676750183,loss_threshold
gpu_seeds,gpu_seeds/3P/GPU-DE/seed44/result.json,GPU-DE,3,44,0.9083465584096928,29,450,1856.313988685608,loss_threshold
gpu_seeds,gpu_seeds/3P/GPU-PSO/seed42/result.json,GPU-PSO,3,42,0.8148500243212816,119,1216,6302.902188062668,loss_threshold
gpu_seeds,gpu_seeds/3P/GPU-PSO/seed43/result.json,GPU-PSO,3,43,0.9385293890178789,27,294,1389.4569404125214,loss_threshold
gpu_seeds,gpu_seeds/3P/GPU-PSO/seed44/result.json,GPU-PSO,3,44,0.9971582867745452,112,1145,5464.513899564743,loss_threshold
gpu_seeds,gpu_seeds/40P/GPU-CMAES/seed42/result.json,GPU-CMAES,40,42,0.9106652241804088,64,3250,13690.202583789825,loss_threshold
gpu_seeds,gpu_seeds/40P/GPU-CMAES/seed43/result.json,GPU-CMAES,40,43,0.8980568344945047,68,3450,14219.500272512436,loss_threshold
gpu_seeds,gpu_seeds/40P/GPU-CMAES/seed44/result.json,GPU-CMAES,40,44,0.9502767800733672,77,3900,16222.130856752396,loss_threshold
gpu_seeds,gpu_seeds/40P/GPU-DE/seed42/result.json,GPU-DE,40,42,3.212634721698485,106,5350,28745.388813972473,stagnation
gpu_seeds,gpu_seeds/40P/GPU-DE/seed43/result.json,GPU-DE,40,43,1.7109320061106028,106,5350,28243.92515730858,stagnation
gpu_seeds,gpu_seeds/40P/GPU-DE/seed44/result.json,GPU-DE,40,44,0.9370422608981636,80,4050,22688.4772837162,loss_threshold
gpu_seeds,gpu_seeds/40P/GPU-PSO/seed42/result.json,GPU-PSO,40,42,0.9771275011893209,240,5359,26173.83916735649,loss_threshold
gpu_seeds,gpu_seeds/40P/GPU-PSO/seed43/result.json,GPU-PSO,40,43,3.59927286415764,99,2972,13107.351328611374,stagnation
gpu_seeds,gpu_seeds/40P/GPU-PSO/seed44/result.json,GPU-PSO,40,44,3.4583864099432473,159,4881,23936.556576251984,stagnation
gpu_seeds,gpu_seeds/5P/GPU-CMAES/seed42/result.json,GPU-CMAES,5,42,1.0219206924932827,64,1625,7420.513239860535,stagnation
gpu_seeds,gpu_seeds/5P/GPU-CMAES/seed43/result.json,GPU-CMAES,5,43,0.9677608341254245,16,425,1864.5582592487335,loss_threshold
gpu_seeds,gpu_seeds/5P/GPU-CMAES/seed44/result.json,GPU-CMAES,5,44,1.381266164516827,109,2750,11840.83874130249,stagnation
gpu_seeds,gpu_seeds/5P/GPU-DE/seed42/result.json,GPU-DE,5,42,0.9562149505394042,30,775,3668.1949672698975,loss_threshold
gpu_seeds,gpu_seeds/5P/GPU-DE/seed43/result.json,GPU-DE,5,43,0.7350731635019114,62,1575,7199.0608031749725,loss_threshold
gpu_seeds,gpu_seeds/5P/GPU-DE/seed44/result.json,GPU-DE,5,44,0.9853759720245738,45,1150,5362.106331825256,loss_threshold
gpu_seeds,gpu_seeds/5P/GPU-PSO/seed42/result.json,GPU-PSO,5,42,0.9942677665453595,59,947,4185.549059152603,loss_threshold
gpu_seeds,gpu_seeds/5P/GPU-PSO/seed43/result.json,GPU-PSO,5,43,0.9988205470488541,148,1875,8356.489187002182,loss_threshold
gpu_seeds,gpu_seeds/5P/GPU-PSO/seed44/result.json,GPU-PSO,5,44,0.9067886006460698,61,1100,5490.145876169205,loss_threshold
gpu_seeds,gpu_seeds/80P/GPU-CMAES/seed42/result.json,GPU-CMAES,80,42,1.9224647041975038,52,2650,15971.616656780243,stagnation
gpu_seeds,gpu_seeds/80P/GPU-CMAES/seed43/result.json,GPU-CMAES,80,43,0.8137989223400802,121,6100,25844.04520726204,loss_threshold
gpu_seeds,gpu_seeds/80P/GPU-CMAES/seed44/result.json,GPU-CMAES,80,44,2.1177703339919436,68,3450,16190.656534194946,stagnation
gpu_seeds,gpu_seeds/80P/GPU-DE/seed42/result.json,GPU-DE,80,42,2.876317046150723,68,3450,20028.60726594925,stagnation
gpu_seeds,gpu_seeds/80P/GPU-DE/seed43/result.json,GPU-DE,80,43,6.6083696732006105,81,4100,24088.280868053436,stagnation
gpu_seeds,gpu_seeds/80P/GPU-DE/seed44/result.json,GPU-DE,80,44,0.9880260396400237,134,6750,37401.89817523956,loss_threshold
