seed,method,n_params,budget,best_loss,fill_kind,is_approx,confidence,run_total_evals,run_final_loss,stop_reason,approx_run
2,GPU-PSO,80,1000,6.220550703881987,observed,False,1.0,6377,0.6405364747813745,Stop A (normal convergence): rel_imp flat 22 iters (≥10) AND contraction_ratio=0.0893 < 0.1,False
2,GPU-PSO,80,1500,6.220550703881987,observed,False,1.0,6377,0.6405364747813745,Stop A (normal convergence): rel_imp flat 22 iters (≥10) AND contraction_ratio=0.0893 < 0.1,False
2,GPU-PSO,80,2000,4.614165276264082,observed,False,1.0,6377,0.6405364747813745,Stop A (normal convergence): rel_imp flat 22 iters (≥10) AND contraction_ratio=0.0893 < 0.1,False
2,GPU-PSO,80,3000,1.18816011794423,observed,False,1.0,6377,0.6405364747813745,Stop A (normal convergence): rel_imp flat 22 iters (≥10) AND contraction_ratio=0.0893 < 0.1,False
2,GPU-PSO,80,5000,0.7511556404522185,observed,False,1.0,6377,0.6405364747813745,Stop A (normal convergence): rel_imp flat 22 iters (≥10) AND contraction_ratio=0.0893 < 0.1,False
2,GPU-PSO,80,7500,0.6400205186777114,approx_hold_final,True,0.7,6377,0.6405364747813745,Stop A (normal convergence): rel_imp flat 22 iters (≥10) AND contraction_ratio=0.0893 < 0.1,False
2,GPU-PSO,80,10000,0.6388818354338931,approx_hold_final,True,0.7,6377,0.6405364747813745,Stop A (normal convergence): rel_imp flat 22 iters (≥10) AND contraction_ratio=0.0893 < 0.1,False
2,GPU-PSO,80,15000,0.6366450106595324,approx_hold_final,True,0.7,6377,0.6405364747813745,Stop A (normal convergence): rel_imp flat 22 iters (≥10) AND contraction_ratio=0.0893 < 0.1,False
2,GPU-PSO,120,100,14.007665013404218,observed,False,1.0,5575,1.3281608857819354,Stop B (long stagnation): rel_imp flat 50 iters (≥50),False
2,GPU-PSO,120,250,14.007665013404218,observed,False,1.0,5575,1.3281608857819354,Stop B (long stagnation): rel_imp flat 50 iters (≥50),False
2,GPU-PSO,120,500,6.937107396416968,observed,False,1.0,5575,1.3281608857819354,Stop B (long stagnation): rel_imp flat 50 iters (≥50),False
2,GPU-PSO,120,750,6.937107396416968,observed,False,1.0,5575,1.3281608857819354,Stop B (long stagnation): rel_imp flat 50 iters (≥50),False
2,GPU-PSO,120,1000,5.828956241888792,observed,False,1.0,5575,1.3281608857819354,Stop B (long stagnation): rel_imp flat 50 iters (≥50),False
2,GPU-PSO,120,1500,5.828956241888792,observed,False,1.0,5575,1.3281608857819354,Stop B (long stagnation): rel_imp flat 50 iters (≥50),False
2,GPU-PSO,120,2000,2.137717939938228,observed,False,1.0,5575,1.3281608857819354,Stop B (long stagnation): rel_imp flat 50 iters (≥50),False
2,GPU-PSO,120,3000,1.5666984721985333,observed,False,1.0,5575,1.3281608857819354,Stop B (long stagnation): rel_imp flat 50 iters (≥50),False
2,GPU-PSO,120,5000,1.3281608857819354,observed,False,1.0,5575,1.3281608857819354,Stop B (long stagnation): rel_imp flat 50 iters (≥50),False
2,GPU-PSO,120,7500,1.326897444648408,approx_hold_final,True,0.6,5575,1.3281608857819354,Stop B (long stagnation): rel_imp flat 50 iters (≥50),False
2,GPU-PSO,120,10000,1.3252685644118396,approx_hold_final,True,0.6,5575,1.3281608857819354,Stop B (long stagnation): rel_imp flat 50 iters (≥50),False
2,GPU-PSO,120,15000,1.3220509024080416,approx_hold_final,True,0.6,5575,1.3281608857819354,Stop B (long stagnation): rel_imp flat 50 iters (≥50),False
2,GPU-PSO,160,100,16.313699237831493,observed,False,1.0,8922,3.0949436180968997,Stop B (long stagnation): rel_imp flat 50 iters (≥50),False
2,GPU-PSO,160,250,16.313699237831493,observed,False,1.0,8922,3.0949436180968997,Stop B (long stagnation): rel_imp flat 50 iters (≥50),False
2,GPU-PSO,160,500,15.37634834276688,observed,False,1.0,8922,3.0949436180968997,Stop B (long stagnation): rel_imp flat 50 iters (≥50),False
2,GPU-PSO,160,750,8.060067219563054,observed,False,1.0,8922,3.0949436180968997,Stop B (long stagnation): rel_imp flat 50 iters (≥50),False
2,GPU-PSO,160,1000,8.060067219563054,observed,False,1.0,8922,3.0949436180968997,Stop B (long stagnation): rel_imp flat 50 iters (≥50),False
2,GPU-PSO,160,1500,7.414749356609255,observed,False,1.0,8922,3.0949436180968997,Stop B (long stagnation): rel_imp flat 50 iters (≥50),False
2,GPU-PSO,160,2000,6.820252089500715,observed,False,1.0,8922,3.0949436180968997,Stop B (long stagnation): rel_imp flat 50 iters (≥50),False
2,GPU-PSO,160,3000,4.656128645283337,observed,False,1.0,8922,3.0949436180968997,Stop B (long stagnation): rel_imp flat 50 iters (≥50),False
